racerId,driverId,predicted_final_position
1027,842,12.52
1088,832,18.36
1010,20,5.75
1010,825,13.43
1003,4,18.55
1026,1,15.63
1019,815,14.23
1007,4,15.74
1021,807,16.73
1019,830,16.45
1060,822,16.7
1015,815,12.55
1027,9,25.96
1009,815,13.62
1034,830,15.68
1038,815,12.89
1031,20,5.52
1084,832,18.4
1085,848,16.17
998,825,12.92
1104,807,17.26
1013,832,15.93
1014,20,5.57
1085,842,12.96
1100,825,17.85
1012,20,5.01
1059,830,13.16
1045,20,6.76
1088,846,5.66
1077,822,21.95
1040,830,16.47
1007,1,15.72
1108,825,16.36
1083,4,16.2
1054,4,17.09
1073,4,16.54
1019,840,15.31
1025,9,21.68
1028,20,7.17
1059,4,20.85
1109,822,21.38
1010,841,29.66
1065,1,16.05
1063,8,3.69
1011,822,20.77
1008,825,13.94
1001,822,20.34
1106,847,18.25
1046,840,13.78
1072,840,12.65
1014,830,14.56
1075,4,14.23
1061,847,20.18
1087,20,6.07
1044,832,17.38
1087,4,16.04
1026,825,16.58
1055,840,17.15
1000,1,14.37
1052,817,4.45
1003,4,18.86
1009,154,12.71
1071,1,15.73
1044,817,4.98
1027,817,6.0
1018,842,11.91
1037,20,7.08
1092,1,15.33
1040,8,2.2
1038,815,12.89
1006,8,5.29
1044,1,15.2
1038,1,14.19
1100,807,15.59
1025,154,16.56
1005,1,11.76
1087,4,9.84
1105,4,17.03
1038,848,14.91
1055,854,20.41
1052,840,14.26
1081,817,5.23
1109,815,12.37
1074,839,19.59
1038,840,13.48
1093,840,12.86
1001,154,12.2
1057,20,5.41
999,815,13.57
1011,832,18.15
1044,817,4.98
1024,8,3.98
1098,840,14.22
1028,154,13.0
1071,849,2.39
1096,1,15.75
1021,815,14.97
1002,843,17.32
1044,154,13.72
1021,8,3.15
1102,1,20.12
1010,1,15.82
1055,817,4.17
1101,825,14.73
1034,844,9.03
1014,825,14.73
1080,854,20.22
1043,1,14.06
1016,154,13.68
1066,822,18.91
1042,825,16.39
1062,1,16.84
1038,154,13.98
1023,8,6.44
1067,8,3.58
1005,20,10.43
1028,844,9.3
1069,815,16.66
1089,830,10.94
1089,830,10.94
1042,830,15.7
1021,807,16.73
1013,822,17.39
1009,20,5.84
1086,849,2.1
1033,20,11.13
1011,8,2.61
1063,20,5.47
1025,846,6.23
1087,815,15.62
1040,830,16.47
1052,20,7.25
1009,822,17.12
1026,817,5.6
1072,1,11.66
1044,844,13.42
1038,154,13.98
1000,822,17.63
1039,840,14.46
1067,4,12.96
1038,846,6.2
1002,825,17.34
1004,839,16.99
1027,154,12.93
1091,840,13.23
1043,20,1.72
1071,817,5.94
1010,815,13.32
1001,825,14.72
999,832,17.04
1004,830,19.26
1096,815,16.02
1031,20,5.52
1085,848,16.17
1023,807,14.58
1010,8,7.2
1002,20,6.28
1010,20,5.75
1008,1,14.66
1038,826,15.66
1071,4,20.02
1082,830,12.9
1087,822,20.99
1026,847,18.47
1005,1,14.16
1065,841,30.14
1053,8,3.02
1027,830,17.27
1008,842,12.84
1054,4,17.09
1037,817,4.75
1020,842,8.37
1028,8,8.66
1005,839,18.8
1082,4,13.59
1011,832,18.15
1054,842,11.95
1062,8,2.19
1046,846,6.16
1063,842,7.61
998,154,13.04
1053,20,4.18
1088,4,17.15
1082,4,13.68
1109,822,21.38
1051,815,12.67
1003,1,14.42
1087,1,21.57
1067,20,6.76
1060,817,4.43
1076,822,25.18
1019,830,16.45
1087,817,5.06
1055,8,2.9
1051,4,16.09
1073,844,10.81
1057,1,15.33
1019,807,16.6
1079,830,12.85
1101,855,17.59
1060,8,2.76
1076,4,17.37
1075,817,5.37
1062,822,19.79
1042,154,13.58
1041,815,12.66
1067,830,16.84
1077,832,15.05
1027,807,15.44
1056,830,13.34
1008,822,18.0
1003,20,6.59
1055,822,20.03
1077,848,17.8
1063,1,14.39
1016,20,5.54
1023,822,16.43
1087,4,16.04
1053,4,16.47
1075,822,22.2
1056,1,13.58
1076,847,17.07
1043,847,19.05
1055,8,2.9
1036,817,5.01
1036,844,15.21
1036,817,5.01
1070,841,25.71
1076,4,15.3
1059,846,5.14
1010,848,17.91
1094,840,16.3
1047,815,13.7
1104,822,22.68
1102,822,24.63
1089,825,16.32
1006,844,14.77
1037,844,14.73
1015,154,13.67
1065,815,11.22
1019,830,16.45
1054,842,11.95
1093,4,17.62
1004,830,19.26
1107,847,21.49
1087,842,7.54
1096,4,15.56
1017,832,16.38
1105,847,20.22
1007,4,15.74
1109,817,5.18
1011,822,20.77
1004,8,4.33
1025,815,13.81
1018,815,14.06
1034,830,15.68
1035,842,10.73
1045,841,25.21
1022,825,16.42
1059,1,14.72
1046,8,3.75
1071,20,6.73
1075,844,9.52
1074,847,18.18
1027,817,6.0
1018,807,16.97
1027,1,14.81
1001,20,8.65
1078,4,15.49
1014,832,20.43
1003,839,17.53
1007,807,16.09
1064,841,31.01
1100,832,18.67
1002,815,10.02
1006,1,15.12
1055,822,20.03
1004,8,6.61
1109,844,8.98
1070,830,15.49
1041,844,8.55
1092,847,15.66
1040,154,13.5
1051,817,8.3
998,815,14.24
1020,1,14.37
1071,815,17.15
1066,4,15.87
1008,1,14.66
1042,20,5.63
1010,846,7.7
1095,4,16.29
1062,852,15.67
1045,815,16.08
1043,841,27.47
1000,4,17.5
1036,154,13.67
1056,4,17.49
1027,20,6.04
1057,1,15.33
1092,817,6.04
1053,4,16.83
1010,830,15.2
1017,825,16.83
1040,8,3.44
1007,817,6.16
1077,825,14.87
1009,822,17.12
1016,817,5.62
1078,825,18.54
1013,817,7.18
1018,1,15.97
1066,1,14.78
1076,20,7.07
1088,847,17.57
1034,832,16.53
1032,826,17.3
1036,1,13.12
1082,815,13.89
1102,840,14.37
1040,826,15.69
1089,822,20.21
1066,852,15.28
1088,832,18.36
1061,842,12.83
1089,830,10.94
1053,4,16.83
1089,832,17.12
1058,1,12.12
1060,20,6.46
1088,832,18.36
998,807,16.21
1024,1,15.65
1004,815,18.5
1101,830,12.19
1062,847,19.39
1065,849,2.04
1075,832,15.61
1096,854,16.74
1065,849,2.04
1091,4,9.93
1085,832,18.03
1002,815,10.02
1008,4,16.7
1021,8,3.15
1102,830,11.26
1044,842,14.33
1056,8,3.78
1110,815,15.42
1030,815,13.27
1008,1,14.66
1006,815,13.11
1076,815,16.21
1055,815,12.06
1057,20,5.24
1020,20,4.88
1051,844,14.35
1053,20,6.47
1018,817,7.15
1035,832,21.25
1055,1,13.28
1108,822,21.62
1021,841,26.07
1072,8,9.05
998,1,15.17
1005,840,14.9
1006,807,15.48
1034,154,13.37
1101,842,12.48
1031,8,2.6
1064,844,11.69
1069,815,16.66
1038,1,14.19
1044,832,17.38
1087,817,5.06
1056,817,7.19
1075,4,11.87
1016,832,21.57
1010,847,21.46
1073,849,2.78
1100,842,12.31
997,822,19.84
1003,8,6.58
1051,1,14.23
1089,1,17.16
1028,1,16.43
1104,815,13.42
1042,825,16.39
1010,847,21.46
1024,154,13.15
1106,825,17.07
1014,1,13.16
1012,8,2.47
1023,154,13.56
1055,822,20.03
999,817,10.56
1085,854,18.24
1015,841,26.89
1008,4,15.75
1021,840,14.93
1007,807,16.09
1071,830,17.37
1039,849,2.51
1086,854,19.26
1006,8,5.45
1045,826,16.22
1047,830,15.21
1102,825,12.95
1084,840,16.46
1062,4,17.19
1091,4,9.93
1051,852,15.07
1026,847,18.47
1093,852,16.58
1073,842,8.5
1088,4,17.15
1093,1,15.98
1051,1,14.23
1062,817,4.95
1088,822,19.94
1032,8,3.85
1016,840,15.36
1070,20,8.2
1020,825,14.26
1018,826,17.0
1092,832,13.93
1100,832,18.67
1081,847,16.05
1035,844,13.27
1037,848,12.35
1047,832,17.97
1003,825,16.09
1099,807,15.77
999,807,15.54
1015,20,4.37
1007,154,12.99
1084,839,17.09
1091,20,5.98
1107,847,21.49
1011,8,2.61
1061,822,16.93
1007,20,5.71
1074,840,13.99
1000,842,10.29
1081,20,4.75
1006,825,16.76
1003,815,16.05
1057,1,15.33
1006,8,6.14
1026,844,12.13
1002,828,7.47
1073,4,16.54
1074,842,11.95
1053,840,13.8
1062,1,16.32
1021,815,13.39
1105,807,16.93
1078,815,17.19
1026,841,25.91
1096,848,17.95
1039,844,8.92
1078,855,17.91
1031,825,17.72
1073,8,5.71
1079,817,6.5
1076,815,16.21
1080,1,16.14
1031,1,15.29
1099,825,16.86
1041,8,2.73
1005,154,12.3
1094,815,16.92
1047,825,16.86
1109,4,16.02
1030,1,14.46
1047,825,16.86
997,842,12.93
1005,817,7.74
1075,4,11.87
1002,20,6.25
1087,20,5.98
1011,9,34.05
998,839,19.19
1027,817,6.0
1005,4,17.07
1069,844,9.42
1077,840,16.71
1032,815,11.41
1020,825,14.26
1008,832,18.28
1035,20,9.04
1088,842,12.82
1033,822,20.35
1023,1,15.05
1083,849,3.27
1104,822,22.68
1012,826,17.67
1105,842,12.29
1005,8,7.33
1006,1,15.3
1031,20,5.52
1074,815,14.41
1095,4,16.29
1014,1,13.14
1070,822,20.87
1016,830,16.81
1107,825,11.31
1053,4,16.83
1060,830,13.85
1001,1,14.8
1100,842,12.31
1062,854,19.1
1089,844,9.73
1029,830,15.53
1096,825,15.93
1033,1,13.79
1036,822,16.65
1019,8,2.54
1028,815,15.54
1056,846,5.96
1061,8,2.75
1085,817,4.95
1057,815,15.64
1036,847,20.21
1024,1,15.65
1004,817,3.79
1076,844,9.11
1060,1,14.99
1011,8,2.61
1084,4,16.32
1079,842,12.91
1076,822,25.18
1081,822,22.38
1027,830,17.27
1060,844,14.39
1037,826,16.47
1076,844,9.11
1096,817,5.7
1083,817,5.72
1015,9,28.74
1011,842,11.04
1079,852,16.33
1071,817,5.94
1109,857,20.09
1072,20,7.39
1023,20,6.0
1045,840,15.72
998,8,6.61
1080,1,16.14
1037,830,13.55
1026,825,16.58
1023,154,13.56
1066,8,3.94
1064,9,25.96
1023,20,6.8
1018,807,16.97
1093,1,15.98
999,830,16.33
1095,4,16.11
1058,817,5.18
1015,8,2.31
1042,815,15.83
1110,815,15.42
1100,840,12.8
1086,830,12.21
1023,825,17.02
1031,8,3.74
1099,1,14.51
1039,1,13.38
1014,817,7.13
1095,825,16.33
1108,840,14.47
1016,807,16.62
1055,849,2.08
1056,8,2.29
1078,817,5.16
1104,815,13.42
1057,8,3.02
1041,154,13.63
1093,20,6.07
1000,839,20.61
1036,830,15.56
1052,841,29.68
1025,815,13.81
1029,842,7.92
1067,817,5.44
1020,830,14.94
1045,815,16.08
1060,842,11.17
1101,844,9.04
1110,1,14.11
998,154,12.43
1005,154,12.3
1042,20,5.63
1054,840,16.08
1069,832,17.7
1000,1,14.41
1008,817,5.6
1006,154,11.42
1031,154,13.44
1096,817,5.7
1036,822,16.65
1069,815,16.66
1073,841,26.38
1072,8,3.28
1024,826,14.36
1110,825,16.09
1008,815,14.11
1096,1,15.75
1002,830,16.86
1004,1,14.15
1083,815,16.53
1020,8,6.72
1070,1,16.25
1034,8,3.47
1083,855,17.22
1002,830,16.86
1026,8,3.18
1000,1,14.4
1074,849,2.08
1003,4,16.41
1020,9,25.72
1002,4,16.45
1042,825,16.39
1001,20,6.84
1021,840,14.93
1004,830,19.26
1001,4,16.6
1104,852,16.31
1070,20,5.05
1080,840,13.46
1109,846,7.75
1063,832,19.34
1045,8,2.93
1098,830,12.01
1063,815,12.59
1010,832,23.57
1011,846,5.27
1011,830,14.77
1035,840,13.28
1002,807,18.26
1074,4,16.55
1058,20,9.0
1023,8,6.17
1087,846,8.26
1066,822,18.91
1102,842,9.61
1095,822,20.38
1036,844,15.21
1016,846,6.07
1107,844,9.34
999,20,6.75
1021,815,13.39
1063,20,6.13
1088,844,9.29
1033,8,2.86
1079,848,17.57
1008,842,12.84
1088,20,7.02
1008,20,7.05
1029,832,18.97
1109,825,16.32
1092,822,19.54
1084,849,2.36
1057,815,15.64
1052,840,14.26
1011,1,12.92
1091,854,16.91
1063,839,17.25
1102,1,20.12
1087,825,17.72
1044,8,5.28
1075,842,10.81
1096,832,17.1
1061,1,14.12
1095,1,16.25
1073,852,14.36
998,828,6.89
1107,4,16.42
1031,832,18.39
1008,815,18.9
1084,817,5.04
1012,817,3.9
1043,839,19.05
1098,807,17.71
1008,20,7.05
1080,832,16.39
1024,840,12.92
1005,832,17.81
1082,842,12.85
1031,1,15.29
1015,817,5.08
1013,20,4.97
1072,4,16.44
1038,840,13.48
1085,852,16.32
1073,8,2.93
1104,848,17.17
1012,832,21.16
1022,817,4.98
1000,840,15.5
1031,840,16.7
1092,839,16.11
1055,841,29.56
1022,807,16.15
1004,817,3.79
1102,846,6.18
999,4,21.03
1030,807,15.19
1033,844,14.33
1055,822,20.03
1057,853,6.94
1016,825,12.77
1023,825,17.02
1060,1,14.99
1077,815,16.43
